season,match_key,date,result,opponent,sets_played,kills,kills_per_set,kill_pct,kill_attempts,kill_errors,hit_pct,assists,assists_per_set,ball_handling_attempts,ball_handling_errors,solo_blocks,assisted_blocks,total_blocks,blocks_per_set,block_errors,digs,dig_errors,digs_per_set,receiving,receiving_errors,receiving_per_set,aces,aces_per_set,ace_pct,serve_attempts,serve_errors,serve_pct,points
SR,SR_09-12_BIHS_1,2019-09-12,L 0-3,Bishop Ireton,3,4,1.3,17.4,23,2,0.087,0,0.0,4,1,0,0,0,0.0,0,10,2,3.3,15,4,5.0,0,0.0,0.0,9,0,100.0,3
SR,SR_09-14_SCA_1,2019-09-14,W 2-0,Shalom Christian Academy,2,8,4.0,30.8,26,1,0.269,1,0.5,1,0,0,0,0,0.0,0,6,1,3.0,11,1,5.5,0,0.0,0.0,6,1,83.3,2
SR,SR_09-14_MSD_2,2019-09-14,T 1-1,Maryland School for the Deaf,2,6,3.0,25.0,24,2,0.167,0,0.0,2,0,1,0,1,0.5,0,17,0,8.5,13,0,6.5,2,1.0,22.2,9,2,77.8,5
SR,SR_09-14_SJCP_3,2019-09-14,L 0-2,St. John's Catholic Prep,2,4,2.0,23.5,17,4,0.0,1,0.5,2,0,0,1,1,0.5,0,8,0,4.0,8,4,4.0,1,0.5,12.5,8,1,87.5,4
SR,SR_09-14_MSD_4,2019-09-14,W 2-1,Maryland School for the Deaf,3,5,1.7,23.8,21,0,0.238,0,0.0,3,0,0,0,0,0.0,0,10,0,3.3,15,2,5.0,1,0.3,11.1,9,1,88.9,3
SR,SR_09-14_NL_5,2019-09-14,W 2-0,New Life Christian School,2,4,2.0,33.3,12,0,0.333,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,5,1,2.5,3,1.5,30.0,10,1,90.0,8
SR,SR_09-17_WCA_1,2019-09-17,W 3-1,Washington Christian Academy,4,13,3.3,36.1,36,5,0.222,0,0.0,3,0,0,0,0,0.0,1,24,2,6.0,15,2,3.8,8,2.0,30.8,26,3,88.5,19
SR,SR_09-19_BURKE_1,2019-09-19,W 3-0,Burke,3,7,2.3,43.8,16,2,0.312,2,0.7,2,0,0,0,0,0.0,0,2,0,0.7,4,0,1.3,14,4.7,53.8,26,2,92.3,22
SR,SR_09-21_DCI_1,2019-09-21,L 1-2,DC International,3,10,3.3,29.4,34,6,0.118,0,0.0,1,0,1,0,1,0.3,0,6,2,2.0,17,0,5.7,1,0.3,12.5,8,1,87.5,4
SR,SR_09-21_SWW_2,2019-09-21,W 2-0,School Without Walls,2,1,0.5,25.0,4,1,0.0,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,1,0,0.5,4,2.0,36.4,11,0,100.0,9
SR,SR_09-21_KAA_3,2019-09-21,W 2-0,King Abdullah Academy,2,6,3.0,54.5,11,0,0.545,0,0.0,0,0,0,0,0,0.0,0,4,0,2.0,3,0,1.5,4,2.0,50.0,8,2,75.0,6
SR,SR_09-21_BULLIS_4,2019-09-21,W 2-0,Bullis,2,4,2.0,19.0,21,2,0.095,1,0.5,2,0,0,1,1,0.5,0,7,0,3.5,5,0,2.5,6,3.0,54.5,11,0,100.0,9
SR,SR_09-21_BULLIS_5,2019-09-21,L 0-2,Bullis,2,4,2.0,23.5,17,0,0.235,0,0.0,1,0,0,0,0,0.0,0,10,0,5.0,12,0,6.0,0,0.0,0.0,5,1,80.0,1
SR,SR_09-24_FIELD_1,2019-09-24,W 3-0,Field,3,12,4.0,54.5,22,3,0.409,0,0.0,1,0,0,0,0,0.0,1,13,0,4.3,14,0,4.7,5,1.7,22.7,22,1,95.5,16
SR,SR_09-25_SJDS_1,2019-09-25,W 3-0,Smith Jewish Day School,3,7,2.3,41.2,17,4,0.176,0,0.0,1,0,0,0,0,0.0,0,18,0,6.0,16,3,5.3,4,1.3,23.5,17,0,100.0,12
SR,SR_09-27_GTD_1,2019-09-27,L 1-3,Georgetown Day,4,8,2.0,17.8,45,3,0.111,1,0.3,4,0,0,0,0,0.0,0,21,2,5.3,30,4,7.5,3,0.8,23.1,13,1,92.3,6
SR,SR_09-30_SSFS_1,2019-09-30,W 3-0,Sandy Spring Friends,3,6,2.0,42.9,14,2,0.286,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,2,0,0.7,7,2.3,41.2,17,1,94.1,14
SR,SR_10-04_ISD_1,2019-10-04,W 2-0,Indiana School for the Deaf,2,11,5.5,36.7,30,4,0.233,0,0.0,1,0,0,0,0,0.0,0,8,2,4.0,9,1,4.5,3,1.5,37.5,8,0,100.0,5
SR,SR_10-04_CSDF_2,2019-10-04,W 2-0,California School for the Deaf,2,7,3.5,28.0,25,3,0.16,0,0.0,1,0,0,0,0,0.0,0,7,0,3.5,6,0,3.0,4,2.0,57.1,7,0,100.0,5
SR,SR_10-04_TSD_3,2019-10-04,L 0-2,Texas School for the Deaf,2,2,1.0,9.1,22,6,-0.182,0,0.0,0,0,0,0,0,0.0,0,8,0,4.0,16,0,8.0,1,0.5,14.3,7,0,100.0,4
SR,SR_10-04_CSDR_4,2019-10-04,W 2-1,California School for the Deaf-Riverside,3,10,3.3,41.7,24,3,0.292,0,0.0,5,1,0,0,0,0.0,0,15,2,5.0,12,0,4.0,3,1.0,23.1,13,0,100.0,8
SR,SR_10-05_ISD_1,2019-10-05,W 2-0,Indiana School for the Deaf,2,7,3.5,25.0,28,4,0.107,0,0.0,2,0,0,0,0,0.0,0,9,1,4.5,10,2,5.0,0,0.0,0.0,6,0,100.0,3
SR,SR_10-05_TSD_2,2019-10-05,L 0-2,Texas School for the Deaf,2,7,3.5,22.6,31,5,0.065,0,0.0,0,0,0,0,0,0.0,0,9,3,4.5,15,2,7.5,1,0.5,16.7,6,0,100.0,2
SR,SR_10-08_OAKCREST_1,2019-10-08,W 3-0,Oakcrest,3,14,4.7,50.0,28,1,0.464,0,0.0,2,0,0,0,0,0.0,0,8,1,2.7,24,2,8.0,3,1.0,30.0,10,2,80.0,4
SR,SR_10-10_BHA_1,2019-10-10,W 3-0,Berman Hebrew Academy,3,5,1.7,62.5,8,1,0.5,0,0.0,0,0,0,1,1,0.3,0,15,0,5.0,8,0,2.7,4,1.3,36.4,11,2,81.8,7
SR,SR_10-12_ROOSEVELT_1,2019-10-12,L 1-2,Roosevelt,2,5,2.5,25.0,20,3,0.1,0,0.0,3,0,0,0,0,0.0,0,16,1,8.0,8,1,4.0,2,1.0,22.2,9,0,100.0,6
SR,SR_10-12_MACA_3,2019-10-12,W 2-0,Mount Airy Christian Academy,2,7,3.5,36.8,19,2,0.263,1,0.5,4,0,0,0,0,0.0,0,10,0,5.0,10,0,5.0,2,1.0,28.6,7,2,71.4,4
SR,SR_10-12_PA_2,2019-10-12,L 0-2,Princess Anne,2,3,1.5,16.7,18,7,-0.222,0,0.0,0,0,0,0,0,0.0,0,3,2,1.5,15,1,7.5,1,0.5,33.3,3,0,100.0,1
SR,SR_10-12_KAA_4,2019-10-12,W 2-0,King Abdullah Academy,2,7,3.5,43.8,16,2,0.312,0,0.0,0,0,0,0,0,0.0,0,13,0,6.5,14,1,7.0,0,0.0,0.0,7,0,100.0,3
SR,SR_10-12_MACA_5,2019-10-12,W 2-0,Mount Airy Christian Academy,2,9,4.5,34.6,26,0,0.346,1,0.5,1,0,0,0,0,0.0,0,9,0,4.5,11,1,5.5,1,0.5,12.5,8,0,100.0,3
SR,SR_10-15_WIS_1,2019-10-15,W 3-0,Washington International,3,13,4.3,37.1,35,3,0.286,1,0.3,3,0,0,0,0,0.0,0,30,0,10.0,16,1,5.3,1,0.3,5.9,17,1,94.1,11
SR,SR_10-17_BARRIE_1,2019-10-17,W 3-0,Barrie,3,7,2.3,70.0,10,1,0.6,0,0.0,2,0,0,0,0,0.0,0,1,0,0.3,7,0,2.3,1,0.3,16.7,6,2,66.7,3
SR,SR_10-18_KAA_1,2019-10-18,W 3-1,King Abdullah Academy,4,13,3.3,31.7,41,5,0.195,1,0.3,4,0,0,0,0,0.0,0,24,1,6.0,18,2,4.5,7,1.8,43.8,16,0,100.0,9
SR,SR_10-21_MCLEAN_1,2019-10-21,W,McLean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR,SR_10-23_BHA_1,2019-10-23,W 3-0,Berman Hebrew Academy,3,6,2.0,46.2,13,1,0.385,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,10,0,3.3,7,2.3,50.0,14,1,92.9,10
SR,SR_10-28_SSFS_1,2019-10-28,W 3-0,Sandy Spring Friends,3,10,3.3,34.5,29,6,0.138,0,0.0,2,0,0,0,0,0.0,0,9,0,3.0,13,0,4.3,9,3.0,52.9,17,1,94.1,12
SR,SR_10-30_WIS_1,2019-10-30,W 3-0,Washington International,3,14,4.7,33.3,42,5,0.214,0,0.0,3,0,0,0,0,0.0,0,13,0,4.3,14,0,4.7,5,1.7,33.3,15,3,80.0,9
SR,SR_11-05_BELL_1,2019-11-05,W 3-0,Bell,3,8,2.7,53.3,15,2,0.4,1,0.3,2,0,0,0,0,0.0,0,10,0,3.3,12,0,4.0,4,1.3,44.4,9,3,66.7,5
SR,SR_11-06_SJ_1,2019-11-06,L 0-3,St. John's,3,9,3.0,29.0,31,4,0.161,0,0.0,5,0,0,0,0,0.0,0,7,2,2.3,21,1,7.0,1,0.3,11.1,9,1,88.9,3
